4912,1264,100
5424,1248,100
5792,1184,100
5968,896,100
6032,640,100
6192,640,100
6400,656,100
6576,688,100
6848,512,100
7136,464,100
7280,400,100
7360,240,100
7488,144,100
7616,160,100
7808,144,100
8128,176,100
8432,288,100
8688,480,100
8896,640,100
9168,640,100
9472,560,100
9584,320,100
9744,240,100
9984,240,100
10192,272,100
10608,304,100
10800,384,100
11056,256,100
11344,352,100
11408,496,100
11776,656,100
12224,624,100
12800,592,100
12896,384,100
13168,224,100
13552,272,100
13904,432,100
14272,608,100
14432,848,100
14592,1072,100
14736,1216,100
15776,1392,100
16016,1296,100
15808,1136,100
14752,1440,100
13824,800,100
13152,608,100
11968,704,100
10896,560,100
10352,256,100
9392,592,100
8816,640,100
7952,592,100
7168,144,100
6464,160,100
5728,400,100
4960,1008,100
4912,1264,100
